Rule 1:: Host 1-> Host 2, ingress=of:0000000000000001:1, egress=of:0000000000000001:2
Rule 79:: Host 9-> Host 7, ingress=of:0000000000000001:9, egress=of:0000000000000001:7
Rule 80:: Host 9-> Host 8, ingress=of:0000000000000001:9, egress=of:0000000000000001:8
Rule 81:: Host 9-> Host 10, ingress=of:0000000000000001:9, egress=of:0000000000000001:10
Rule 82:: Host 10-> Host 1, ingress=of:0000000000000001:10, egress=of:0000000000000001:1
Rule 83:: Host 10-> Host 2, ingress=of:0000000000000001:10, egress=of:0000000000000001:2
Rule 84:: Host 10-> Host 3, ingress=of:0000000000000001:10, egress=of:0000000000000001:3
Rule 85:: Host 10-> Host 4, ingress=of:0000000000000001:10, egress=of:0000000000000001:4
Rule 86:: Host 10-> Host 5, ingress=of:0000000000000001:10, egress=of:0000000000000001:5
Rule 87:: Host 10-> Host 6, ingress=of:0000000000000001:10, egress=of:0000000000000001:6
Rule 88:: Host 10-> Host 7, ingress=of:0000000000000001:10, egress=of:0000000000000001:7
Rule 89:: Host 10-> Host 8, ingress=of:0000000000000001:10, egress=of:0000000000000001:8
Rule 90:: Host 10-> Host 9, ingress=of:0000000000000001:10, egress=of:0000000000000001:9
